,title,company,salary,summary
0,Hybrid Application Developer,SKEIN TECHNOLOGIES,"₹25,000 - ₹40,000 a month",Develop hybrid mobile apps and responsive web interfaces.Good exposure to design and development of the hybrid mobile app using Ionic Framework and Cordova.
1,ReactJS Developer,SourceCode Labs,,Your primary focus will be on developing user interface components and implementing them following well-known React.js workflows (such as Flux or Redux).
2,,Enhance IT,"₹4,47,933 - ₹16,76,794 a year","We are seeking an application developer, with expertise in Microsoft Cloud Web development.JS (as mentioned above) backend web services (microservices)."
3,Full Stack Developer,PARAMI FINANCIAL SERVICES,"₹20,000 - ₹40,000 a month","Experience developing desktop and mobile applications.Familiarity with databases (e.g. MySQL), web servers (e.g. Apache) and UI/UX design."
4,Laravel Developer,Appic Mobile,"₹4,20,000 - ₹6,00,000 a year",Integration of multiple data sources and databases into one system.Understanding fundamental design principles behind a scalable application.
5,ASP.NET Web Developer Work From Home,Thumbstack Technologies Pvt. Ltd.,"₹3,60,000 - ₹7,20,000 a year","Remain up to date with the terminology, concepts and best practices for coding mobile apps.Coordinate with other software professionals and developers."
6,WEB DEVELOPERS,Computer Engineer,"₹17,000 - ₹26,000 a month","Expertise in web development in one or more focus areas (UI/UX and design, programming/ development) or app development (iOS or Android)."
7,Front End Developer,CreativeWebo,,"Proficient understanding of web markup, including HTML5, CSS3.Web development: 1 year (Required).Proficient understanding of server-side CSS pre-processing…"
8,Web Developer,At Business,"₹25,000 - ₹30,000 a month","We're looking for a brilliant web developer who is-.Has knowledge of Responsive Design, Version Control (Git), and other web development platforms."
9,PHP Web Developer,Lasons India Pvt Ltd,"₹40,000 - ₹50,000 a month","You develop back-end components, connect the application with other web services, and assist front-end developers by ensuring their work integrates with the…"
10,Website Developer - Contract,"MarketLync, Inc.","₹7,000 - ₹11,000 a month",And India to assist with building web pages and integrating it with service layer APIs using React & Typescript.Experience with APIs and Service Layer.
11,Work As Web Developer For ALFA,Alfa Kpo Pvt Ltd,"₹10,000 - ₹18,000 a month",ALFA KPO PVT LTD is a full-service digital marketing & social media agency committed to the development and maintenance of online presence.
12,Front-End Developer,Zeidler Legal Process Outsourcing,,"You’ll partner with product managers and backend engineers to deliver great experiences, as well as compelling user interfaces.Big plus if you have:"
13,Web Developer,SOLUSI NSTHR SOLUTIONS PVT LTD,"₹20,000 - ₹22,000 a month","Maintaining an understanding of the latest Web applications and programming practices through education, study, and participation in conferences, workshops, and…"
14,Jr. Software Developer,TISS,"₹20,000 - ₹25,000 a year",Support existing web applications under the guidance of Team Lead/ Developer.Bachelors/Masters in Computer Engg.Fresher’s can also apply.
15,Hybrid Application Developer,SKEIN TECHNOLOGIES,"₹25,000 - ₹40,000 a month",Develop hybrid mobile apps and responsive web interfaces.Good exposure to design and development of the hybrid mobile app using Ionic Framework and Cordova.
16,ReactJS Developer,SourceCode Labs,,Your primary focus will be on developing user interface components and implementing them following well-known React.js workflows (such as Flux or Redux).
